Thread pool size,Current 10 Second Throughput,99th percentile Latency
1,4501.0,10.682367
1,4862.0,40.108031
10,672.8000000000001,77.594623
3,855.0,100.139007
49,707.0,104.333311
3,816.0,104.857599
3,779.0,108.003327
49,795.8,111.673343
3,784.2,113.770495
4,716.2,115.343359
3,780.6,175.112191
3,731.4,178.257919
24,658.2,184.549375
18,675.2,187.695103
4,744.2,190.840831
16,726.8,191.889407
49,675.4,206.569471
29,668.0,207.618047
44,777.0,211.812351
15,754.2,213.909503
