Thread pool size,Current 10 Second Throughput,99th percentile Latency
49,757.5999999999999,198.180863
39,741.0,199.229439
49,807.8000000000001,200.278015
49,699.2,202.375167
49,814.6,203.423743
49,746.8,206.569471
10,781.2,210.763775
49,749.8,211.812351
49,728.8000000000001,211.812351
49,722.2,222.298111
49,723.6,263.192575
49,727.0,272.629759
49,691.8,272.629759
38,735.8,274.726911
48,675.6,274.726911
49,669.8000000000001,283.115519
49,678.4000000000001,285.212671
49,632.8,289.406975
49,728.1999999999999,293.601279
15,808.4,308.281343
