Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,1663.6,2.916351
31,1822.2,47.185919
35,1785.6,52.953087
47,1823.8,55.836671
10,1834.8,57.147391
9,2083.6,57.671679
16,1952.8,57.933823
3,2101.2,57.671679
36,1897.0,59.506687
44,1881.2,59.506687
3,2128.0,57.671679
4,2054.4,58.982399
4,2056.8,59.506687
4,2123.4,58.982399
3,2583.4,59.244543
3,2284.2000000000003,59.506687
3,2075.8,59.768831
2,2213.6,59.506687
2,2152.4,60.555263
2,2175.2,61.341695
