Thread pool size,Current 10 Second Throughput,99th percentile Latency
43,4603.6,2.785279
1,4612.599999999999,2.785279
15,4439.400000000001,2.785279
8,4347.4,2.785279
9,4484.8,2.785279
45,4422.400000000001,2.785279
47,4472.6,2.785279
11,4487.0,2.785279
13,4522.400000000001,2.785279
26,4646.599999999999,2.785279
32,4402.799999999999,2.785279
35,4568.400000000001,2.785279
3,4434.2,2.785279
43,4517.599999999999,2.785279
25,4486.0,2.785279
10,4302.6,2.801663
9,4518.6,2.801663
47,4352.599999999999,2.801663
15,4355.0,2.801663
2,4487.6,2.818047
