Thread pool size,Current 10 Second Throughput,Throughput Difference,In pogress count,Average Latency,99th percentile Latency
10, 4686.2, Infinity, 0, 0.15566274404988628, 2.834431
1, 4743.8, 1.2291408817378764, 0, 0.14556210344791445, 2.818047
107, 4868.2, 2.622370251696944, 0, 0.14865460004376274, 2.834431
101, 4747.2, -2.4855182613697053, 1, 0.14945894814930613, 2.834431
71, 4704.400000000001, -0.9015840916750774, 0, 0.14773535861656883, 2.834431
58, 4637.8, -1.4156959442224377, 0, 0.14968521529117845, 2.834431
150, 4748.8, 2.3933761697356504, 1, 0.1497914583297839, 2.818047
147, 4623.0, -2.6490902964959604, 0, 0.14712692398709593, 2.818047
131, 4636.2, 0.28552887735236465, 0, 0.14868685118846459, 2.818047
126, 4658.599999999999, 0.4831543074069203, 0, 0.14775788101593976, 2.818047
35, 4652.0, -0.14167346413084306, 0, 0.1474984470330811, 2.818047
35, 4829.8, 3.822012037833194, 0, 0.14821885428493048, 2.818047
45, 4787.0, -0.8861650585945625, 0, 0.14760352954622746, 2.818047
138, 4621.0, -3.4677250887821183, 0, 0.14946638113690058, 2.818047
1, 4776.6, 3.3672365288898587, 0, 0.14440936329395948, 2.818047
136, 4805.6, 0.6071264079052044, 0, 0.14883053940177657, 2.818047
135, 4588.4, -4.519726985183967, 0, 0.1496172706690895, 2.818047
85, 4765.2, 3.8531950135123396, 0, 0.14830736012070808, 2.818047
86, 4794.8, 0.6211701502560305, 0, 0.14908088777662176, 2.818047
62, 4560.400000000001, -4.8886293484608245, 0, 0.14795911351958443, 2.818047
1, 0.0, -100.0, 0, 0.14396717136236434, 2.818047
