Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,51.8,1442.840575
38,63.2,1317.011455
23,52.6,2684.354559
4,138.60000000000002,308.281343
39,161.8,164.626431
49,160.8,158.334975
1,75.4,199.229439
1,74.60000000000001,240.123903
49,36.0,629.145599
3,137.8,134.217727
3,2.000000000000005,2332.033023
3,145.20000000000002,128.974847
1,79.39999999999999,217.055231
1,76.6,178.257919
1,73.8,169.869311
1,68.4,244.318207
1,77.4,165.675007
1,76.6,252.706815
1,71.8,262.143999
1,77.8,234.881023
1,22.4,889.192447
24,206.4,190.840831
1,78.8,184.549375
1,59.400000000000006,608.174079
1,0.8000000000000006,1392.508927
1,0.8000000000000006,5804.916735
25,137.6,159.383551
49,151.6,171.966463
25,141.8,125.829119
40,166.0,914.358271
19,140.6,190.840831
15,190.0,168.820735
23,189.4,153.092095
3,141.2,113.770495
15,176.79999999999998,150.994943
40,160.4,780.140543
31,163.8,179.306495
3,133.79999999999998,157.286399
36,173.4,179.306495
7,160.6,152.043519
