Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,1897.2,36.700159
11,1850.0,55.050239
2,2108.4,52.690943
4,2112.6,56.098815
3,2111.0,57.147391
3,2120.2000000000003,58.195967
3,2102.8,58.458111
3,2115.4,59.768831
1,2300.0,57.933823
13,1987.0,60.030975
1,2341.6000000000004,60.555263
1,2260.0,55.574527
1,2597.2,56.360959
1,2599.8,51.642367
1,2371.0,50.069503
1,2351.4,48.496639
1,2337.2,45.613055
1,2394.2,40.108031
19,1818.0,55.836671
1,2226.8,4.325375
