Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,103.6,114.819071
3,100.4,89.128959
1,753.2,32.505855
24,218.2,74.973183
25,219.2,73.924607
36,205.6,72.351743
48,246.2,74.448895
2,226.0,93.847551
2,234.6,92.798975
5,228.8,78.643199
3,184.2,788.529151
49,219.6,679.477247
43,193.2,637.534207
2,225.2,767.557631
2,251.2,633.339903
48,226.6,671.088639
49,264.40000000000003,784.334847
27,234.2,517.996543
10,233.0,417.333247
34,192.4,700.448767
