Thread pool size,Current 10 Second Throughput,Throughput Difference,In pogress count,Average Latency,99th percentile Latency
10, 170.2, Infinity, 1, 3.7812716505010022, 10.354687
28, 150.8, -11.398354876615734, 1, 6.035153182007224, 13.565951
199, 126.60000000000001, -16.047745358090186, 1, 8.38398662087502, 17.039359
1, 122.6, -3.1595576619273413, 1, 9.088042597871654, 25.821183
131, 111.0, -9.461663947797712, 1, 8.130802690676736, 16.252927
128, 90.80000000000001, -18.198198198198188, 1, 9.21292967594108, 20.447231
85, 57.2, -37.00440528634362, 1, 146.2205502591687, 2097.151999
15, 0.4, -99.30069930069929, 1, 44.23010252838758, 299.892735
168, 46.6, 11550.0, 1, 55.73479358801498, 1065.353215
1, 1.3999999999999992, -96.99570815450643, 1, 24.52811416216216, 247.463935
1, 8.4, 500.00000000000034, 1, 284.15477808530807, 2164.260863
16, 10.0, 19.047619047619044, 1, 35.87789551100244, 272.629759
15, 0.8, -91.99999999999999, 1, 53.895395134935306, 981.467135
16, 59.2, 7300.000000000001, 1, 38.49107029941672, 662.700031
140, 0.20000000000000004, -99.66216216216216, 1, 34.608708098522165, 238.026751
1, 20.599999999999998, 10199.999999999996, 1, 130.15022042588728, 1627.389951
125, 51.6, 150.4854368932039, 1, 33.24314530380465, 225.443839
158, 1.2, -97.67441860465117, 1, 81.32424269958848, 1132.462079
1, 46.0, 3733.3333333333335, 1, 30.26844985123967, 276.824063
101, 0.8000000000000002, -98.26086956521739, 1, 50.345512467353956, 289.406975
45, 0.0, -100.0, 0, 923.6456594285714, 3154.116607
