Thread pool size,Current 10 Second Throughput,Throughput Difference,In pogress count,Average Latency,99th percentile Latency
10, 2139.7999999999997, Infinity, 532, 5.4819473137447865, 18.087935
29, 2120.2000000000003, -0.915973455463102, 825, 4.466541752454257, 10.616831
131, 2010.1999999999998, -5.188189793415736, 1152, 4.053570313508499, 7.995391
146, 2103.4, 4.636354591582941, 1464, 4.174743078149839, 8.191999
83, 2015.6, -4.174194161833231, 1810, 4.06048381775678, 8.060927
199, 2103.4, 4.356023020440573, 2118, 4.040099774339916, 7.471103
199, 2009.4, -4.4689550251973, 2361, 3.9451092880722824, 7.503871
177, 1995.8, -0.6768189509306328, 2631, 4.034834288304049, 7.536639
175, 2043.9999999999998, 2.4150716504659693, 2877, 3.9476057550152173, 7.536639
54, 2085.2, 2.0156555772994156, 3157, 4.201567999739199, 8.847359
55, 2002.2, -3.980433531555716, 3424, 4.264217402500665, 8.912895
42, 2117.3999999999996, 5.753670961941844, 3701, 4.277493619380749, 9.109503
190, 2107.0, -0.49116841409273815, 4009, 4.026090622662852, 7.569407
107, 2005.8, -4.8030374940673966, 4344, 4.0575997393888645, 7.831551
106, 2010.8, 0.2492770964203809, 4666, 4.008004990985856, 7.766015
161, 2069.8, 2.93415555997614, 4986, 4.06240418819139, 7.602175
197, 2096.0, 1.2658227848101178, 5324, 3.966890359373852, 7.536639
96, 1780.1999999999998, -15.06679389312978, 5677, 4.104769715187103, 7.864319
148, 2009.9999999999998, 12.90866194809572, 6026, 3.9747778531730944, 7.700479
166, 2085.8, 3.771144278606986, 6389, 3.9547441450371723, 7.536639
199, 0.0, -100.0, 6457, 4.050888487778016, 7.864319
