Thread pool size,Current 10 Second Throughput,99th percentile Latency
30,4472.6,2.785279
33,4418.200000000001,2.785279
33,4487.799999999999,2.785279
33,4426.6,2.785279
32,4565.8,2.785279
32,4506.8,2.785279
32,4420.2,2.785279
31,4655.2,2.785279
31,4624.400000000001,2.785279
34,4443.2,2.785279
30,4385.799999999999,2.785279
30,4594.799999999999,2.785279
29,4463.8,2.785279
28,4473.2,2.785279
28,4577.0,2.785279
40,4588.4,2.785279
47,4634.2,2.785279
33,4334.8,2.785279
7,4403.0,2.801663
10,4455.6,2.801663
