Thread pool size,Current 10 Second Throughput,Throughput Difference,In pogress count,Average Latency,99th percentile Latency
10, 838.8000000000001, Infinity, 1, 1.279397307508853, 2.490367
144, 850.2, 1.3590844062947038, 0, 1.0451734463489466, 1.310719
142, 829.5999999999999, -2.4229593036932644, 1, 1.0359834126987333, 1.245183
81, 863.6, 4.098360655737719, 1, 1.028264510488108, 1.228799
67, 877.4, 1.5979620194534454, 1, 1.0150163439887294, 1.220607
199, 813.0, -7.339867791201274, 0, 1.037433311329711, 1.253375
199, 724.6, -10.87330873308733, 1, 1.0615916444371214, 1.245183
173, 857.0, 18.272150151807892, 1, 1.0335408065684617, 1.236991
176, 817.1999999999999, -4.6441073512252125, 1, 1.0343616572395455, 1.236991
39, 819.0, 0.2202643171806251, 0, 1.0189086010774706, 1.212415
39, 869.0, 6.105006105006105, 1, 1.013774966075849, 1.212415
112, 853.0, -1.8411967779056386, 1, 1.0294793905434696, 1.228799
112, 849.1999999999999, -0.44548651817116863, 1, 1.0316678555921845, 1.236991
53, 768.8, -9.467734338200659, 1, 1.0396314271828933, 1.384447
97, 815.0, 6.009365244536947, 1, 1.0310568622909142, 1.269759
97, 812.8, -0.26993865030675407, 1, 1.0330616500171264, 1.236991
126, 806.6, -0.7627952755905428, 1, 1.0614354690966066, 1.245183
159, 811.4, 0.5950905033473785, 1, 1.0370986554547108, 1.245183
159, 804.6, -0.8380576780872511, 1, 1.037333098246962, 1.253375
189, 816.8, 1.5162813820531855, 1, 1.0392158274669379, 1.269759
189, 0.0, -100.0, 0, 1.0437412440191387, 1.286143
