Thread pool size,Current 10 Second Throughput,99th percentile Latency
10,782.0,74.973183
26,712.2,96.468991
8,732.8,99.090431
12,723.4,102.236159
4,779.8000000000001,98.566143
26,675.2,181.403647
4,755.8000000000001,105.381887
1,5748.8,18.743295
7,769.1999999999999,178.257919
1,5666.6,21.626879
1,5740.0,22.806527
1,5588.2,23.199743
1,5343.400000000001,24.641535
1,5680.4,26.738687
1,5616.0,27.131903
1,5371.6,28.442623
1,5887.2,29.884415
1,5874.2,31.457279
1,5836.6,31.457279
1,5798.599999999999,32.374783
