Thread pool size,Current 10 Second Throughput,99th percentile Latency
8,2096.8,31.719423
10,2198.6,34.603007
13,0.0,36.438015
2,1534.0,36.962303
10,2148.2,37.748735
6,2110.8,44.826623
18,2125.4,53.477375
1,986.2,57.409535
1,992.2,58.458111
1,1029.4,61.341695
1,988.4,61.341695
28,2074.2,61.865983
10,1776.6,68.157439
37,2172.2000000000003,71.303167
35,2076.6000000000004,76.546047
157,1677.2,84.410367
199,2092.0,87.031807
199,2089.2,87.556095
74,2095.8,88.604671
130,2182.6,91.750399
57,1663.6,92.798975
