Thread pool size,Current 10 Second Throughput,Throughput Difference,In pogress count,Average Latency,99th percentile Latency
10, 11243.199999999999, Infinity, 119, 0.6699347636015135, 10.027007
1, 6042.6, -46.25551444428632, 117, 1.3901661587930785, 8.355839
9, 11596.199999999999, 91.90745705491011, 200, 0.7341179676774897, 11.796479
89, 11045.0, -4.753281247305143, 296, 0.668390305178105, 9.043967
1, 6190.8, -43.94929832503395, 297, 1.4005292384103105, 7.733247
71, 11197.0, 80.86515474575175, 413, 0.6746381013452183, 8.978431
54, 11006.0, -1.7058140573367866, 493, 0.6820966659682371, 9.502719
40, 10966.0, -0.3634381246592768, 583, 0.6882189634710427, 9.633791
1, 6092.2, -44.44464709100857, 586, 1.4059149538369857, 8.355839
58, 11067.8, 81.67164571090902, 663, 0.6738972114016057, 9.109503
1, 6385.6, -42.30470373515964, 662, 1.4101162478505007, 8.355839
55, 10979.6, 71.94312202455525, 760, 0.6751398315580337, 9.175039
1, 6270.400000000001, -42.890451382564024, 760, 1.403572781797623, 8.388607
58, 11257.199999999999, 79.52921663689713, 840, 0.6775488605627245, 9.240575
1, 6149.6, -45.37185090431012, 840, 1.3891278139879673, 8.388607
57, 10833.6, 76.16755561337322, 894, 0.678304418280384, 9.306111
1, 6177.6, -42.977403633141336, 895, 1.3896647529154342, 8.355839
53, 11026.4, 78.49002849002848, 987, 0.6824689467734069, 9.437183
1, 6070.6, -44.94485960966408, 991, 1.4028998167531344, 8.388607
50, 11228.6, 84.96688959905116, 1102, 0.6798612745619173, 9.371647
83, 0.0, -100.0, 1123, 0.6713087642847019, 9.175039
