Thread pool size,Current 10 Second Throughput,Throughput Difference,In pogress count,Average Latency,99th percentile Latency
10, 12086.4, Infinity, 90, 3.299551238513429, 21.757951
1, 6508.400000000001, -46.15104580354778, 85, 7.009573065338308, 18.481151
159, 11916.199999999999, 83.08954581771248, 126, 2.831574830989811, 48.496639
91, 12351.199999999999, 3.6504926067034797, 176, 2.95121973768537, 51.380223
84, 11754.0, -4.835157717468739, 222, 3.016413089272919, 51.904511
1, 6514.6, -44.57546367194146, 221, 6.790812385430768, 18.481151
79, 11948.400000000001, 83.40957234519388, 296, 2.9968571453639434, 52.690943
1, 6792.8, -43.14887348933749, 285, 6.87523708980886, 19.922943
72, 12369.2, 82.09280414556589, 324, 2.9964644278138346, 51.904511
1, 6621.8, -46.46541409306988, 326, 6.81942831039722, 19.791871
68, 12057.6, 82.08946207979703, 418, 3.009899203576022, 52.428799
1, 6388.0, -47.02096602972399, 402, 6.900577396498869, 19.529727
66, 12297.6, 92.51095804633688, 476, 3.0217938793783246, 52.428799
1, 6646.2, -45.955308352849336, 463, 7.0242852517206265, 19.922943
75, 11757.8, 76.9101140501339, 532, 3.0165792881426023, 52.690943
1, 6651.0, -43.43329534436714, 522, 6.8429362712075505, 19.922943
73, 12132.8, 82.42068861825288, 572, 3.02774656722429, 52.690943
1, 6510.0, -46.343795331662925, 575, 6.896381255935669, 19.529727
74, 11785.0, 81.02918586789555, 661, 3.0146348512820795, 52.953087
1, 6460.599999999999, -45.1794654221468, 640, 6.931910568722124, 18.743295
70, 0.0, -100.00000000000001, 666, 2.9725820538869256, 49.545215
